i0,s0_idx,s0,s1,s1_label,s2,s2_label
496,3414,"Prototyping is crucial to systems development, argues Ian Richards Tailored to <b>fit</b>.","Prototyping is crucial to systems development, argues Ian Richards Tailored to <b>suit</b>.",apt,"Prototyping is crucial to systems development, argues Ian Richards Tailored to <b>go</b>.",inapt
497,3420,If you ask a user what sort of system he wants you will be met with a <b>blank</b> look.,If you ask a user what sort of system he wants you will be met with a <b>vacant</b> look.,apt,If you ask a user what sort of system he wants you will be met with a <b>clean</b> look.,inapt
498,3420,If you ask a user what sort of system he wants you will be met with a <b>blank</b> look.,If you ask a user what sort of system he wants you will be met with a <b>vacant</b> look.,apt,If you ask a user what sort of system he wants you will be met with a <b>white</b> look.,inapt
499,3420,If you ask a user what sort of system he wants you will be met with a <b>blank</b> look.,If you ask a user what sort of system he wants you will be met with a <b>clean</b> look.,inapt,If you ask a user what sort of system he wants you will be met with a <b>white</b> look.,inapt
500,3422,"A user may have a deep knowledge of business problems, but knowing little about computers, has no idea how they should be <b>tackled</b>.","A user may have a deep knowledge of business problems, but knowing little about computers, has no idea how they should be <b>handled</b>.",apt,"A user may have a deep knowledge of business problems, but knowing little about computers, has no idea how they should be <b>harnessed</b>.",inapt
501,3460,"Instead of persuading the user to specify requirements, the analyst will be driven by the user to <b>meet</b> key needs.","Instead of persuading the user to specify requirements, the analyst will be driven by the user to <b>satisfy</b> key needs.",apt,"Instead of persuading the user to specify requirements, the analyst will be driven by the user to <b>encounter</b> key needs.",inapt
502,3460,"Instead of persuading the user to specify requirements, the analyst will be driven by the user to <b>meet</b> key needs.","Instead of persuading the user to specify requirements, the analyst will be driven by the user to <b>satisfy</b> key needs.",apt,"Instead of persuading the user to specify requirements, the analyst will be driven by the user to <b>see</b> key needs.",inapt
503,3460,"Instead of persuading the user to specify requirements, the analyst will be driven by the user to <b>meet</b> key needs.","Instead of persuading the user to specify requirements, the analyst will be driven by the user to <b>encounter</b> key needs.",inapt,"Instead of persuading the user to specify requirements, the analyst will be driven by the user to <b>see</b> key needs.",inapt
504,3465,"But once the user <b>sees</b> the potential of the system, a change in attitude takes place.","But once the user <b>realises</b> the potential of the system, a change in attitude takes place.",apt,"But once the user <b>comprehends</b> the potential of the system, a change in attitude takes place.",inapt
505,3465,"But once the user <b>sees</b> the potential of the system, a change in attitude takes place.","But once the user <b>spots</b> the potential of the system, a change in attitude takes place.",apt,"But once the user <b>comprehends</b> the potential of the system, a change in attitude takes place.",inapt
506,3465,"But once the user <b>sees</b> the potential of the system, a change in attitude takes place.","But once the user <b>realises</b> the potential of the system, a change in attitude takes place.",apt,"But once the user <b>spots</b> the potential of the system, a change in attitude takes place.",apt
507,3475,"In theory, validation <b>meant</b> that the user had read the specification, imagined how the system would work in practice, and agreed the design.","In theory, validation <b>indicated</b> that the user had read the specification, imagined how the system would work in practice, and agreed the design.",apt,"In theory, validation <b>intended</b> that the user had read the specification, imagined how the system would work in practice, and agreed the design.",inapt
508,3498,Too much specialisation is bad for systems development; it <b>feeds</b> the temptation to get engrossed in technical difficulties and forget about the underlying business needs.,Too much specialisation is bad for systems development; it <b>encourages</b> the temptation to get engrossed in technical difficulties and forget about the underlying business needs.,apt,Too much specialisation is bad for systems development; it <b>caters</b> the temptation to get engrossed in technical difficulties and forget about the underlying business needs.,inapt
509,3504,Container <b>group</b> Tiphook yesterday said it was still confident of winning its joint £643million bid for Sea Containers even though the battle has swung towards James Sherwood's ferries-to-trailers combine.,Container <b>organisation</b> Tiphook yesterday said it was still confident of winning its joint £643million bid for Sea Containers even though the battle has swung towards James Sherwood's ferries-to-trailers combine.,apt,Container <b>grouping</b> Tiphook yesterday said it was still confident of winning its joint £643million bid for Sea Containers even though the battle has swung towards James Sherwood's ferries-to-trailers combine.,inapt
510,3521,"Tiphook, which yesterday <b>unveiled</b> a 124 per cent increase in half year profits to £10million, hopes the court will block SeaCo's purchases of its own shares.","Tiphook, which yesterday <b>revealed</b> a 124 per cent increase in half year profits to £10million, hopes the court will block SeaCo's purchases of its own shares.",apt,"Tiphook, which yesterday <b>uncovered</b> a 124 per cent increase in half year profits to £10million, hopes the court will block SeaCo's purchases of its own shares.",inapt
511,3521,"Tiphook, which yesterday <b>unveiled</b> a 124 per cent increase in half year profits to £10million, hopes the court will block SeaCo's purchases of its own shares.","Tiphook, which yesterday <b>revealed</b> a 124 per cent increase in half year profits to £10million, hopes the court will block SeaCo's purchases of its own shares.",apt,"Tiphook, which yesterday <b>exposed</b> a 124 per cent increase in half year profits to £10million, hopes the court will block SeaCo's purchases of its own shares.",inapt
512,3521,"Tiphook, which yesterday <b>unveiled</b> a 124 per cent increase in half year profits to £10million, hopes the court will block SeaCo's purchases of its own shares.","Tiphook, which yesterday <b>uncovered</b> a 124 per cent increase in half year profits to £10million, hopes the court will block SeaCo's purchases of its own shares.",inapt,"Tiphook, which yesterday <b>exposed</b> a 124 per cent increase in half year profits to £10million, hopes the court will block SeaCo's purchases of its own shares.",inapt
513,3529,"Alternatively, it may be able to muster enough support from SeaCo shareholders to halt the current disposal of assets by Mr Sherwood for its bid with Stena to be fully <b>considered</b>.","Alternatively, it may be able to muster enough support from SeaCo shareholders to halt the current disposal of assets by Mr Sherwood for its bid with Stena to be fully <b>contemplated</b>.",apt,"Alternatively, it may be able to muster enough support from SeaCo shareholders to halt the current disposal of assets by Mr Sherwood for its bid with Stena to be fully <b>regarded</b>.",inapt
514,3542,"Aggreko generator hire, Salvesen's world market leader which provides <b>power</b> for customers from pop concerts to the oil industry, contributed strongly to a 37 per cent growth in trading profits in the industrial services division.","Aggreko generator hire, Salvesen's world market leader which provides <b>energy</b> for customers from pop concerts to the oil industry, contributed strongly to a 37 per cent growth in trading profits in the industrial services division.",apt,"Aggreko generator hire, Salvesen's world market leader which provides <b>might</b> for customers from pop concerts to the oil industry, contributed strongly to a 37 per cent growth in trading profits in the industrial services division.",inapt
515,3555,The shares <b>rose</b> 10p to 170p.,The shares <b>increased</b> 10p to 170p.,apt,The shares <b>lifted</b> 10p to 170p.,inapt
516,3572,"Turnover was held at £228.6million, an <b>rise</b> of about £2million, by the earlier contribution from tyre distribution and the US replacement.","Turnover was held at £228.6million, an <b>increase</b> of about £2million, by the earlier contribution from tyre distribution and the US replacement.",apt,"Turnover was held at £228.6million, an <b>ascent</b> of about £2million, by the earlier contribution from tyre distribution and the US replacement.",inapt
517,3572,"Turnover was held at £228.6million, an <b>rise</b> of about £2million, by the earlier contribution from tyre distribution and the US replacement.","Turnover was held at £228.6million, an <b>increase</b> of about £2million, by the earlier contribution from tyre distribution and the US replacement.",apt,"Turnover was held at £228.6million, an <b>ascension</b> of about £2million, by the earlier contribution from tyre distribution and the US replacement.",inapt
518,3572,"Turnover was held at £228.6million, an <b>rise</b> of about £2million, by the earlier contribution from tyre distribution and the US replacement.","Turnover was held at £228.6million, an <b>ascent</b> of about £2million, by the earlier contribution from tyre distribution and the US replacement.",inapt,"Turnover was held at £228.6million, an <b>ascension</b> of about £2million, by the earlier contribution from tyre distribution and the US replacement.",inapt
519,3581,Earnings were <b>level</b> at 17.5p a share.,Earnings were <b>static</b> at 17.5p a share.,apt,Earnings were <b>flat</b> at 17.5p a share.,inapt
520,3581,Earnings were <b>level</b> at 17.5p a share.,Earnings were <b>static</b> at 17.5p a share.,apt,Earnings were <b>plane</b> at 17.5p a share.,inapt
521,3581,Earnings were <b>level</b> at 17.5p a share.,Earnings were <b>flat</b> at 17.5p a share.,inapt,Earnings were <b>plane</b> at 17.5p a share.,inapt
522,3592,"HARDANGER, the retail property developer, <b>posted</b> pre-tax profits up £1.3million to £8.37million.","HARDANGER, the retail property developer, <b>reported</b> pre-tax profits up £1.3million to £8.37million.",apt,"HARDANGER, the retail property developer, <b>affixed</b> pre-tax profits up £1.3million to £8.37million.",inapt
523,3593,"CRYSTALATE, the electronics product <b>group</b>, experienced a ‘serious disappointment’ in the second half and hence profits fell from £5.6million to £2.9million in the year to September.","CRYSTALATE, the electronics product <b>company</b>, experienced a ‘serious disappointment’ in the second half and hence profits fell from £5.6million to £2.9million in the year to September.",apt,"CRYSTALATE, the electronics product <b>grouping</b>, experienced a ‘serious disappointment’ in the second half and hence profits fell from £5.6million to £2.9million in the year to September.",inapt
524,3607,Properties continued to <b>shine</b> as British Land produced a complicated scheme to release the value of its property portfolio.,Properties continued to <b>excel</b> as British Land produced a complicated scheme to release the value of its property portfolio.,apt,Properties continued to <b>reflect</b> as British Land produced a complicated scheme to release the value of its property portfolio.,inapt
525,3625,"His mentor, Enrico Fermi, later to be called ‘the <b>father</b> of the bomb’, and Emilio Segre (who died in California earlier this year).","His mentor, Enrico Fermi, later to be called ‘the <b>creator</b> of the bomb’, and Emilio Segre (who died in California earlier this year).",apt,"His mentor, Enrico Fermi, later to be called ‘the <b>begetter</b> of the bomb’, and Emilio Segre (who died in California earlier this year).",inapt
526,3640,He then ordered a car to call for him the next morning for a similar occasion and was <b>felled</b> by a stroke while waiting for the lift.,He then ordered a car to call for him the next morning for a similar occasion and was <b>hit</b> by a stroke while waiting for the lift.,apt,He then ordered a car to call for him the next morning for a similar occasion and was <b>dropped</b> by a stroke while waiting for the lift.,inapt
527,3641,He then ordered a car to call for him the next morning for a similar occasion and was felled by a <b>stroke</b> while waiting for the lift.,He then ordered a car to call for him the next morning for a similar occasion and was felled by a <b>convulsion</b> while waiting for the lift.,apt,He then ordered a car to call for him the next morning for a similar occasion and was felled by a <b>touch</b> while waiting for the lift.,inapt
528,3641,He then ordered a car to call for him the next morning for a similar occasion and was felled by a <b>stroke</b> while waiting for the lift.,He then ordered a car to call for him the next morning for a similar occasion and was felled by an <b>embolism</b> while waiting for the lift.,apt,He then ordered a car to call for him the next morning for a similar occasion and was felled by a <b>touch</b> while waiting for the lift.,inapt
529,3641,He then ordered a car to call for him the next morning for a similar occasion and was felled by a <b>stroke</b> while waiting for the lift.,He then ordered a car to call for him the next morning for a similar occasion and was felled by a <b>convulsion</b> while waiting for the lift.,apt,He then ordered a car to call for him the next morning for a similar occasion and was felled by an <b>embolism</b> while waiting for the lift.,apt
530,3656,"In 1949, Amaldi wrote to the Italian prime minister asking for permission to produce and sell sealing wax for letters, ‘so that we may <b>raise</b> needed funds for our physics lab’.","In 1949, Amaldi wrote to the Italian prime minister asking for permission to produce and sell sealing wax for letters, ‘so that we may <b>acquire</b> needed funds for our physics lab’.",apt,"In 1949, Amaldi wrote to the Italian prime minister asking for permission to produce and sell sealing wax for letters, ‘so that we may <b>lift</b> needed funds for our physics lab’.",inapt
531,3656,"In 1949, Amaldi wrote to the Italian prime minister asking for permission to produce and sell sealing wax for letters, ‘so that we may <b>raise</b> needed funds for our physics lab’.","In 1949, Amaldi wrote to the Italian prime minister asking for permission to produce and sell sealing wax for letters, ‘so that we may <b>acquire</b> needed funds for our physics lab’.",apt,"In 1949, Amaldi wrote to the Italian prime minister asking for permission to produce and sell sealing wax for letters, ‘so that we may <b>elevate</b> needed funds for our physics lab’.",inapt
532,3656,"In 1949, Amaldi wrote to the Italian prime minister asking for permission to produce and sell sealing wax for letters, ‘so that we may <b>raise</b> needed funds for our physics lab’.","In 1949, Amaldi wrote to the Italian prime minister asking for permission to produce and sell sealing wax for letters, ‘so that we may <b>lift</b> needed funds for our physics lab’.",inapt,"In 1949, Amaldi wrote to the Italian prime minister asking for permission to produce and sell sealing wax for letters, ‘so that we may <b>elevate</b> needed funds for our physics lab’.",inapt
533,3702,"The structure of the developing national authority has been both diffuse enough to prevent it from being <b>destroyed</b> by any one single sweep of arrests (there have been more than 50,000 arrests since the Intifada's outbreak), and coherent enough to allow for the existence of a unified resistance strategy.","The structure of the developing national authority has been both diffuse enough to prevent it from being <b>decimated</b> by any one single sweep of arrests (there have been more than 50,000 arrests since the Intifada's outbreak), and coherent enough to allow for the existence of a unified resistance strategy.",apt,"The structure of the developing national authority has been both diffuse enough to prevent it from being <b>destructed</b> by any one single sweep of arrests (there have been more than 50,000 arrests since the Intifada's outbreak), and coherent enough to allow for the existence of a unified resistance strategy.",inapt
534,3723,"A high level of mobility in the structure allows for continuous interchange of roles and ideas, and retains for the Unified National Command the <b>closeness</b> to grass roots that is required to make it truly reflect people's wishes and sentiments.","A high level of mobility in the structure allows for continuous interchange of roles and ideas, and retains for the Unified National Command the <b>connection</b> to grass roots that is required to make it truly reflect people's wishes and sentiments.",apt,"A high level of mobility in the structure allows for continuous interchange of roles and ideas, and retains for the Unified National Command the <b>nearness</b> to grass roots that is required to make it truly reflect people's wishes and sentiments.",inapt
535,3751,"Harsh measures — putting an entire community under an absolute curfew for a continuous lengthy period of time, demolishing homes, uprooting olive or citrus trees, physical intimidation and terror tactics <b>employed</b> by raiding army units, shooting, killing, cutting off water or electricity supplies and telephone links to villages or towns, mass arrests, intimidatory interrogation techniques — can either create a temporary lull or activate an eruption.","Harsh measures — putting an entire community under an absolute curfew for a continuous lengthy period of time, demolishing homes, uprooting olive or citrus trees, physical intimidation and terror tactics <b>used</b> by raiding army units, shooting, killing, cutting off water or electricity supplies and telephone links to villages or towns, mass arrests, intimidatory interrogation techniques — can either create a temporary lull or activate an eruption.",apt,"Harsh measures — putting an entire community under an absolute curfew for a continuous lengthy period of time, demolishing homes, uprooting olive or citrus trees, physical intimidation and terror tactics <b>hired</b> by raiding army units, shooting, killing, cutting off water or electricity supplies and telephone links to villages or towns, mass arrests, intimidatory interrogation techniques — can either create a temporary lull or activate an eruption.",inapt
536,3754,"Harsh measures — putting an entire community under an absolute curfew for a continuous lengthy period of time, demolishing homes, uprooting olive or citrus trees, physical intimidation and terror tactics employed by raiding army units, shooting, killing, cutting off water or electricity supplies and telephone links to villages or towns, mass arrests, intimidatory interrogation techniques — can either create a temporary lull or <b>activate</b> an eruption.","Harsh measures — putting an entire community under an absolute curfew for a continuous lengthy period of time, demolishing homes, uprooting olive or citrus trees, physical intimidation and terror tactics employed by raiding army units, shooting, killing, cutting off water or electricity supplies and telephone links to villages or towns, mass arrests, intimidatory interrogation techniques — can either create a temporary lull or <b>trigger</b> an eruption.",apt,"Harsh measures — putting an entire community under an absolute curfew for a continuous lengthy period of time, demolishing homes, uprooting olive or citrus trees, physical intimidation and terror tactics employed by raiding army units, shooting, killing, cutting off water or electricity supplies and telephone links to villages or towns, mass arrests, intimidatory interrogation techniques — can either create a temporary lull or <b>trip</b> an eruption.",inapt
537,3754,"Harsh measures — putting an entire community under an absolute curfew for a continuous lengthy period of time, demolishing homes, uprooting olive or citrus trees, physical intimidation and terror tactics employed by raiding army units, shooting, killing, cutting off water or electricity supplies and telephone links to villages or towns, mass arrests, intimidatory interrogation techniques — can either create a temporary lull or <b>activate</b> an eruption.","Harsh measures — putting an entire community under an absolute curfew for a continuous lengthy period of time, demolishing homes, uprooting olive or citrus trees, physical intimidation and terror tactics employed by raiding army units, shooting, killing, cutting off water or electricity supplies and telephone links to villages or towns, mass arrests, intimidatory interrogation techniques — can either create a temporary lull or <b>trigger</b> an eruption.",apt,"Harsh measures — putting an entire community under an absolute curfew for a continuous lengthy period of time, demolishing homes, uprooting olive or citrus trees, physical intimidation and terror tactics employed by raiding army units, shooting, killing, cutting off water or electricity supplies and telephone links to villages or towns, mass arrests, intimidatory interrogation techniques — can either create a temporary lull or <b>actuate</b> an eruption.",inapt
538,3754,"Harsh measures — putting an entire community under an absolute curfew for a continuous lengthy period of time, demolishing homes, uprooting olive or citrus trees, physical intimidation and terror tactics employed by raiding army units, shooting, killing, cutting off water or electricity supplies and telephone links to villages or towns, mass arrests, intimidatory interrogation techniques — can either create a temporary lull or <b>activate</b> an eruption.","Harsh measures — putting an entire community under an absolute curfew for a continuous lengthy period of time, demolishing homes, uprooting olive or citrus trees, physical intimidation and terror tactics employed by raiding army units, shooting, killing, cutting off water or electricity supplies and telephone links to villages or towns, mass arrests, intimidatory interrogation techniques — can either create a temporary lull or <b>trip</b> an eruption.",inapt,"Harsh measures — putting an entire community under an absolute curfew for a continuous lengthy period of time, demolishing homes, uprooting olive or citrus trees, physical intimidation and terror tactics employed by raiding army units, shooting, killing, cutting off water or electricity supplies and telephone links to villages or towns, mass arrests, intimidatory interrogation techniques — can either create a temporary lull or <b>actuate</b> an eruption.",inapt
539,3755,"Harsh measures — putting an entire community under an absolute curfew for a continuous lengthy period of time, demolishing homes, uprooting olive or citrus trees, physical intimidation and terror tactics employed by raiding army units, shooting, killing, cutting off water or electricity supplies and telephone links to villages or towns, mass arrests, intimidatory interrogation techniques — can either create a temporary lull or activate an <b>eruption</b>.","Harsh measures — putting an entire community under an absolute curfew for a continuous lengthy period of time, demolishing homes, uprooting olive or citrus trees, physical intimidation and terror tactics employed by raiding army units, shooting, killing, cutting off water or electricity supplies and telephone links to villages or towns, mass arrests, intimidatory interrogation techniques — can either create a temporary lull or activate an <b>outbreak</b>.",apt,"Harsh measures — putting an entire community under an absolute curfew for a continuous lengthy period of time, demolishing homes, uprooting olive or citrus trees, physical intimidation and terror tactics employed by raiding army units, shooting, killing, cutting off water or electricity supplies and telephone links to villages or towns, mass arrests, intimidatory interrogation techniques — can either create a temporary lull or activate a <b>discharge</b>.",inapt
540,3771,"Through it, Palestinians are struggling on a daily basis to <b>shake</b> off Israel's authority and to construct their own.","Through it, Palestinians are struggling on a daily basis to <b>brush</b> off Israel's authority and to construct their own.",apt,"Through it, Palestinians are struggling on a daily basis to <b>agitate</b> off Israel's authority and to construct their own.",inapt
541,3772,"Through it, Palestinians are struggling on a daily basis to shake off Israel's authority and to <b>construct</b> their own.","Through it, Palestinians are struggling on a daily basis to shake off Israel's authority and to <b>create</b> their own.",apt,"Through it, Palestinians are struggling on a daily basis to shake off Israel's authority and to <b>make</b> their own.",inapt
542,3809,"If the PNC Declaration of Independence constituted a major <b>landmark</b> in this process, the time has come to embark on another major step, that of declaring the setting up of a state or government structure.","If the PNC Declaration of Independence constituted a major <b>milestone</b> in this process, the time has come to embark on another major step, that of declaring the setting up of a state or government structure.",apt,"If the PNC Declaration of Independence constituted a major <b>position</b> in this process, the time has come to embark on another major step, that of declaring the setting up of a state or government structure.",inapt
543,3809,"If the PNC Declaration of Independence constituted a major <b>landmark</b> in this process, the time has come to embark on another major step, that of declaring the setting up of a state or government structure.","If the PNC Declaration of Independence constituted a major <b>milestone</b> in this process, the time has come to embark on another major step, that of declaring the setting up of a state or government structure.",apt,"If the PNC Declaration of Independence constituted a major <b>place</b> in this process, the time has come to embark on another major step, that of declaring the setting up of a state or government structure.",inapt
544,3809,"If the PNC Declaration of Independence constituted a major <b>landmark</b> in this process, the time has come to embark on another major step, that of declaring the setting up of a state or government structure.","If the PNC Declaration of Independence constituted a major <b>position</b> in this process, the time has come to embark on another major step, that of declaring the setting up of a state or government structure.",inapt,"If the PNC Declaration of Independence constituted a major <b>place</b> in this process, the time has come to embark on another major step, that of declaring the setting up of a state or government structure.",inapt
545,3815,"If the PNC Declaration of Independence constituted a major landmark in this process, the time has come to embark on another major step, that of declaring the setting up of a state or government <b>structure</b>.","If the PNC Declaration of Independence constituted a major landmark in this process, the time has come to embark on another major step, that of declaring the setting up of a state or government <b>system</b>.",apt,"If the PNC Declaration of Independence constituted a major landmark in this process, the time has come to embark on another major step, that of declaring the setting up of a state or government <b>construction</b>.",inapt
546,3817,AN ESCALATION of the Intifada in this direction would <b>serve</b> two purposes at once.,AN ESCALATION of the Intifada in this direction would <b>benefit</b> two purposes at once.,apt,AN ESCALATION of the Intifada in this direction would <b>dish</b> two purposes at once.,inapt
547,3824,"Second, it would consolidate the <b>image</b> and essence of the Intifada as a constructive, not a destructive, force.","Second, it would consolidate the <b>impression</b> and essence of the Intifada as a constructive, not a destructive, force.",apt,"Second, it would consolidate the <b>icon</b> and essence of the Intifada as a constructive, not a destructive, force.",inapt
548,3826,"Second, it would consolidate the image and essence of the Intifada as a constructive, not a destructive, <b>force</b>.","Second, it would consolidate the image and essence of the Intifada as a constructive, not a destructive, <b>power</b>.",apt,"Second, it would consolidate the image and essence of the Intifada as a constructive, not a destructive, <b>strength</b>.",inapt
549,3847,It would provide the multitudinous popular committees and activities with a more advanced <b>form</b> of organisation and structure.,It would provide the multitudinous popular committees and activities with a more advanced <b>type</b> of organisation and structure.,apt,It would provide the multitudinous popular committees and activities with a more advanced <b>contour</b> of organisation and structure.,inapt
550,3878,Such agreements can range from the issue of <b>borders</b> to the issue of free wave-lengths for our future television and radio networks.,Such agreements can range from the issue of <b>boundaries</b> to the issue of free wave-lengths for our future television and radio networks.,apt,Such agreements can range from the issue of <b>metes</b> to the issue of free wave-lengths for our future television and radio networks.,inapt
551,3919,"To the Tysons, that <b>meant</b> nothing extravagant — just an extra £135 a month to make life at home in South Ruislip, Middlesex easier.","To the Tysons, that <b>implied</b> nothing extravagant — just an extra £135 a month to make life at home in South Ruislip, Middlesex easier.",apt,"To the Tysons, that <b>intended</b> nothing extravagant — just an extra £135 a month to make life at home in South Ruislip, Middlesex easier.",inapt
552,3932,"In the days that <b>followed</b>, the Tysons found that they and 18,000 other investors had been the victims of a financial crash of global proportions.","In the days that <b>came</b>, the Tysons found that they and 18,000 other investors had been the victims of a financial crash of global proportions.",apt,"In the days that <b>traveled</b>, the Tysons found that they and 18,000 other investors had been the victims of a financial crash of global proportions.",inapt
553,3932,"In the days that <b>followed</b>, the Tysons found that they and 18,000 other investors had been the victims of a financial crash of global proportions.","In the days that <b>came</b>, the Tysons found that they and 18,000 other investors had been the victims of a financial crash of global proportions.",apt,"In the days that <b>moved</b>, the Tysons found that they and 18,000 other investors had been the victims of a financial crash of global proportions.",inapt
554,3932,"In the days that <b>followed</b>, the Tysons found that they and 18,000 other investors had been the victims of a financial crash of global proportions.","In the days that <b>traveled</b>, the Tysons found that they and 18,000 other investors had been the victims of a financial crash of global proportions.",inapt,"In the days that <b>moved</b>, the Tysons found that they and 18,000 other investors had been the victims of a financial crash of global proportions.",inapt
555,3937,"After the initial <b>shock</b> and disbelief, the Tysons grew angry — at the advisers who convinced them about Barlow Clowes, at the Midland bank manager who gave verbal assurances of its security, at the regulatory authorities responsible for the investment community and at the Department of Trade and Industry which allowed the company to trade.","After the initial <b>surprise</b> and disbelief, the Tysons grew angry — at the advisers who convinced them about Barlow Clowes, at the Midland bank manager who gave verbal assurances of its security, at the regulatory authorities responsible for the investment community and at the Department of Trade and Industry which allowed the company to trade.",apt,"After the initial <b>earthquake</b> and disbelief, the Tysons grew angry — at the advisers who convinced them about Barlow Clowes, at the Midland bank manager who gave verbal assurances of its security, at the regulatory authorities responsible for the investment community and at the Department of Trade and Industry which allowed the company to trade.",inapt
556,3941,"After the initial shock and disbelief, the Tysons grew angry — at the advisers who convinced them about Barlow Clowes, at the Midland bank manager who gave verbal assurances of its security, at the regulatory authorities responsible for the investment <b>community</b> and at the Department of Trade and Industry which allowed the company to trade.","After the initial shock and disbelief, the Tysons grew angry — at the advisers who convinced them about Barlow Clowes, at the Midland bank manager who gave verbal assurances of its security, at the regulatory authorities responsible for the investment <b>group</b> and at the Department of Trade and Industry which allowed the company to trade.",apt,"After the initial shock and disbelief, the Tysons grew angry — at the advisers who convinced them about Barlow Clowes, at the Midland bank manager who gave verbal assurances of its security, at the regulatory authorities responsible for the investment <b>gathering</b> and at the Department of Trade and Industry which allowed the company to trade.",inapt
557,3941,"After the initial shock and disbelief, the Tysons grew angry — at the advisers who convinced them about Barlow Clowes, at the Midland bank manager who gave verbal assurances of its security, at the regulatory authorities responsible for the investment <b>community</b> and at the Department of Trade and Industry which allowed the company to trade.","After the initial shock and disbelief, the Tysons grew angry — at the advisers who convinced them about Barlow Clowes, at the Midland bank manager who gave verbal assurances of its security, at the regulatory authorities responsible for the investment <b>group</b> and at the Department of Trade and Industry which allowed the company to trade.",apt,"After the initial shock and disbelief, the Tysons grew angry — at the advisers who convinced them about Barlow Clowes, at the Midland bank manager who gave verbal assurances of its security, at the regulatory authorities responsible for the investment <b>assemblage</b> and at the Department of Trade and Industry which allowed the company to trade.",inapt
558,3941,"After the initial shock and disbelief, the Tysons grew angry — at the advisers who convinced them about Barlow Clowes, at the Midland bank manager who gave verbal assurances of its security, at the regulatory authorities responsible for the investment <b>community</b> and at the Department of Trade and Industry which allowed the company to trade.","After the initial shock and disbelief, the Tysons grew angry — at the advisers who convinced them about Barlow Clowes, at the Midland bank manager who gave verbal assurances of its security, at the regulatory authorities responsible for the investment <b>gathering</b> and at the Department of Trade and Industry which allowed the company to trade.",inapt,"After the initial shock and disbelief, the Tysons grew angry — at the advisers who convinced them about Barlow Clowes, at the Midland bank manager who gave verbal assurances of its security, at the regulatory authorities responsible for the investment <b>assemblage</b> and at the Department of Trade and Industry which allowed the company to trade.",inapt
559,3945,‘I <b>feel</b> appalled by the way these professional guardians have treated us.,‘I <b>am</b> appalled by the way these professional guardians have treated us.,apt,‘I <b>sense</b> appalled by the way these professional guardians have treated us.,inapt
560,3961,"Putting it as politely as he can, Mr Tyson said the whole affair ‘<b>encouraged</b>’ him to return to paid employment.","Putting it as politely as he can, Mr Tyson said the whole affair ‘<b>motivated</b>’ him to return to paid employment.",apt,"Putting it as politely as he can, Mr Tyson said the whole affair ‘<b>inspired</b>’ him to return to paid employment.",inapt
561,3961,"Putting it as politely as he can, Mr Tyson said the whole affair ‘<b>encouraged</b>’ him to return to paid employment.","Putting it as politely as he can, Mr Tyson said the whole affair ‘<b>motivated</b>’ him to return to paid employment.",apt,"Putting it as politely as he can, Mr Tyson said the whole affair ‘<b>animated</b>’ him to return to paid employment.",inapt
562,3961,"Putting it as politely as he can, Mr Tyson said the whole affair ‘<b>encouraged</b>’ him to return to paid employment.","Putting it as politely as he can, Mr Tyson said the whole affair ‘<b>inspired</b>’ him to return to paid employment.",inapt,"Putting it as politely as he can, Mr Tyson said the whole affair ‘<b>animated</b>’ him to return to paid employment.",inapt
563,3963,‘I hadn't <b>planned</b> to work at all.’,‘I hadn't <b>intended</b> to work at all.’,apt,‘I hadn't <b>designed</b> to work at all.’,inapt
564,3968,Pursuing legal action would have cost them money they didn't have (unless it meant selling their house which was not an option) but doing nothing left them with the <b>feeling</b> that justice wasn't being done.,Pursuing legal action would have cost them money they didn't have (unless it meant selling their house which was not an option) but doing nothing left them with the <b>impression</b> that justice wasn't being done.,apt,Pursuing legal action would have cost them money they didn't have (unless it meant selling their house which was not an option) but doing nothing left them with the <b>touch</b> that justice wasn't being done.,inapt
565,3972,So they compromised and gave £100 to the Barlow Clowes Investors Group which was formed last July to represent the investors' interests and co-ordinate the <b>fight</b> for compensation.,So they compromised and gave £100 to the Barlow Clowes Investors Group which was formed last July to represent the investors' interests and co-ordinate the <b>push</b> for compensation.,apt,So they compromised and gave £100 to the Barlow Clowes Investors Group which was formed last July to represent the investors' interests and co-ordinate the <b>conflict</b> for compensation.,inapt
566,3972,So they compromised and gave £100 to the Barlow Clowes Investors Group which was formed last July to represent the investors' interests and co-ordinate the <b>fight</b> for compensation.,So they compromised and gave £100 to the Barlow Clowes Investors Group which was formed last July to represent the investors' interests and co-ordinate the <b>push</b> for compensation.,apt,So they compromised and gave £100 to the Barlow Clowes Investors Group which was formed last July to represent the investors' interests and co-ordinate the <b>engagement</b> for compensation.,inapt
567,3972,So they compromised and gave £100 to the Barlow Clowes Investors Group which was formed last July to represent the investors' interests and co-ordinate the <b>fight</b> for compensation.,So they compromised and gave £100 to the Barlow Clowes Investors Group which was formed last July to represent the investors' interests and co-ordinate the <b>conflict</b> for compensation.,inapt,So they compromised and gave £100 to the Barlow Clowes Investors Group which was formed last July to represent the investors' interests and co-ordinate the <b>engagement</b> for compensation.,inapt
568,3980,"That aside, the last year has <b>brought</b> little respite from their own, very personal, crisis.","That aside, the last year has <b>given</b> little respite from their own, very personal, crisis.",apt,"That aside, the last year has <b>conveyed</b> little respite from their own, very personal, crisis.",inapt
