i0,idx,s0,novelty,sid,genre,human_ans
616,2975,"In a desperately competitive climate, where anyone <b>bright</b> and competent could go down the road and pick up a better paid job with kinder hours and more congenial working conditions from someone like British Telecom, the railways ran a service dependent on people who belonged to a narrow and inbred working culture, with outdated procedures of training and promotion, and an institutional reliance on overtime working, whose wholly disgraceful dimensions are symbolised by the fact that maximum weekly hours were only recently cut to 72 hours a week.",-0.029,a7w-fragment01-11,NEWS,smart intelligent
617,2977,"In a desperately competitive climate, where anyone bright and competent could go down the <b>road</b> and pick up a better paid job with kinder hours and more congenial working conditions from someone like British Telecom, the railways ran a service dependent on people who belonged to a narrow and inbred working culture, with outdated procedures of training and promotion, and an institutional reliance on overtime working, whose wholly disgraceful dimensions are symbolised by the fact that maximum weekly hours were only recently cut to 72 hours a week.",-0.294,a7w-fragment01-11,NEWS,street path adverts
618,2981,"In a desperately competitive climate, where anyone bright and competent could go down the road and pick up a better paid job with kinder hours and more congenial working conditions from someone like British Telecom, the railways ran a service dependent on people who belonged to a <b>narrow</b> and inbred working culture, with outdated procedures of training and promotion, and an institutional reliance on overtime working, whose wholly disgraceful dimensions are symbolised by the fact that maximum weekly hours were only recently cut to 72 hours a week.",0.143,a7w-fragment01-11,NEWS,small limited confining restricted
619,2985,"In a desperately competitive climate, where anyone bright and competent could go down the road and pick up a better paid job with kinder hours and more congenial working conditions from someone like British Telecom, the railways ran a service dependent on people who belonged to a narrow and inbred working culture, with outdated procedures of training and promotion, and an institutional reliance on overtime working, whose wholly disgraceful <b>dimensions</b> are symbolised by the fact that maximum weekly hours were only recently cut to 72 hours a week.",0.441,a7w-fragment01-11,NEWS,proportions conditions features aspects parameters
620,2998,"But the job of lifting the standards of people employed, giving them proper training, and paying a wage which breaks dependence on overtime and lifts morale: this <b>together</b> must far exceed the costs of the technology, and it isn't by any means clear what the bill will be or where the money will come from.",-0.121,a7w-fragment01-14,NEWS,simultaneously overall conjointly
621,3005,"Government <b>fixes</b> the format in which BR has to work; and if, as the Hidden report attests, many of its problems today reflect lack of past planning, lack of farsighted investment, living from hand to mouth, then that is not just BR's doing.",0.059,a7w-fragment01-16,NEWS,sets settles secures corrects arranges
622,3008,"Government fixes the format in which BR has to work; and if, as the Hidden report <b>attests</b>, many of its problems today reflect lack of past planning, lack of farsighted investment, living from hand to mouth, then that is not just BR's doing.",0.118,a7w-fragment01-16,NEWS,indicates demonstrates confirms
623,3016,"Government compounds all these problems when it sets down working parameters which <b>fail</b> to reflect the value the country gets from a system that is run efficiently, can shift people to destinations with exemplary speed and safety — as Europe consistently demonstrates.",-0.062,a7w-fragment01-17,NEWS,don't neglect
624,3021,"Government compounds all these problems when it sets down working parameters which fail to reflect the value the country gets from a system that is <b>run</b> efficiently, can shift people to destinations with exemplary speed and safety — as Europe consistently demonstrates.",-0.147,a7w-fragment01-17,NEWS,managed operated functioning
625,3022,"Government compounds all these problems when it sets down working parameters which fail to reflect the value the country gets from a system that is run efficiently, can <b>shift</b> people to destinations with exemplary speed and safety — as Europe consistently demonstrates.",-0.088,a7w-fragment01-17,NEWS,move transport transfer
626,3023,"Government compounds all these problems when it sets down working parameters which fail to reflect the value the country gets from a system that is run efficiently, can shift people to destinations with exemplary speed and safety — as Europe consistently <b>demonstrates</b>.",0.0,a7w-fragment01-17,NEWS,shows displays
627,3026,"It is sad, and somewhat ominous, that so little of that should have been reflected in the <b>sombre</b> statement which Mr Parkinson made in the House yesterday..",0.452,a7w-fragment01-18,NEWS,negative serious solemn depressing sad
628,3030,"Outside the capital, accident and emergency services were being provided in most areas, but the ban on emergency work was <b>tightened</b>.",0.455,a7w-fragment01-23,NEWS,increased strengthened reinforced reduced
629,3039,There are three key causes of the shambles: Mr Kenneth Clarke; the failure to separate emergency from non-emergency work; and the Whitley Council negotiating <b>machinery</b>.,0.424,a7w-fragment01-28,NEWS,equipment system
630,3040,The Health Secretary <b>accused</b> the unions of ‘posturing and pretending’ to run a 999 service yesterday.,0.0,a7w-fragment01-29,NEWS,charged described indicted
631,3052,"The move was signalled last week and, true to their promised response, management <b>suspended</b> the workers involved in the disruption.",0.171,a7w-fragment01-32,NEWS,release debarred dismissed punished deferred
632,3053,But ‘<b>posturing</b> and pretending’ went far beyond the unions.,0.455,a7w-fragment01-33,NEWS,performing showing posing puffing
633,3057,"Mr Clarke has been indulging in just that himself, <b>putting</b> up the luckless Duncan Nichol, chief executive of the health service, to take the initial flak under the pretence that the dispute is not his direct responsibility.",-0.059,a7w-fragment01-34,NEWS,risking setting offering
634,3068,"Their paramedical skills <b>cover</b> highly technical procedures: intubation, infusion and defebrillation.",-0.147,a7w-fragment01-38,NEWS,include includes involve
635,3069,"The <b>crews</b> are able to resuscitate heart attack patients, replace fluid intraveneously after severe blood loss, and insert tubes to maintain air supplies in unconconscious casualties.",0.029,a7w-fragment01-39,NEWS,teams
636,3071,"The crews are able to resuscitate heart attack patients, replace fluid intraveneously after <b>severe</b> blood loss, and insert tubes to maintain air supplies in unconconscious casualties.",-0.194,a7w-fragment01-39,NEWS,substantial extreme major dangerous acute
637,3077,He is right to <b>pursue</b> this line.,0.212,a7w-fragment01-44,NEWS,follow chase explore
638,3081,The ramshackle Whitley Council negotiating <b>machinery</b> is the other reason why the ambulance workers have lost out.,0.0,a7w-fragment01-46,NEWS,technology process
639,3082,"Until this year, the three independent review <b>bodies</b> which make recommendations for nurses, doctors and the professions allied to medicine have given much higher awards than the Whitley Councils.",0.375,a7w-fragment01-47,NEWS,committees groups boards organisations collectives institutes panels
640,3110,"The whole point of a visit to Hong Kong now, five months after Tiananmen Square, should be to declare with royal authority that Britain shares the concerns of the Hong Kong people and is <b>determined</b> to do something about them.",-0.031,a7w-fragment01-58,NEWS,ready set bound resolved driven
641,3120,"It did not help at all that upon arrival yesterday the royal couple instantly touched base in that comforting <b>symbol</b> of past British power, the Hong Kong and Shanghai Bank.",0.303,a7w-fragment01-62,NEWS,token sign representation fortress
642,3121,"It did not help at all that upon arrival yesterday the royal couple instantly touched base in that comforting symbol of past British <b>power</b>, the Hong Kong and Shanghai Bank.",-0.176,a7w-fragment01-62,NEWS,authority sovereignty influence command
643,3123,If there is a failure of imagination to use the royal visit creatively it will also be a <b>failure</b> of nerve.,0.171,a7w-fragment01-63,NEWS,blunder neglect loss mistake offense
644,3127,Britain still can not decide when to play the mandarinate game of silence with the Chinese and when to <b>break</b> the rules (as Beijing does all the time.),-0.114,a7w-fragment01-64,NEWS,dishonour bend ignore breach disobey
645,3134,"The ideal tactics should be a mixture of both, but only if a clear message can be communicated to the Hong Kong people that someone is <b>standing</b> up for them somewhere.",-0.219,a7w-fragment01-65,NEWS,turning rising sticking
646,3138,China claims that the Hong Kong Government recently <b>gave</b> a written commitment to limit the activities of the pro-democracy movement in the territory.,-0.273,a7w-fragment01-67,NEWS,shown delivered issued provided offered
647,3139,China claims that the Hong Kong Government recently gave a written commitment to <b>limit</b> the activities of the pro-democracy movement in the territory.,-0.206,a7w-fragment01-67,NEWS,restrict refrain cap
648,3142,"The government denies this, but has <b>published</b> the text of a letter from its Political Adviser to the New China News Agency (Beijing's embassy in Hong Kong) suggesting that it did.",0.032,a7w-fragment01-68,NEWS,produced corresponded released circulated
649,3143,"The government denies this, but has published the text of a letter from its Political Adviser to the New China News Agency (Beijing's embassy in Hong Kong) <b>suggesting</b> that it did.",0.0,a7w-fragment01-68,NEWS,evidencing hinting insinuating implying advising
650,3151,Meanwhile the <b>flood</b> of letters of a very different sort from anxious Hong Kong citizens to this and every other newspaper office continues.,0.333,a7w-fragment01-72,NEWS,deluge torrent flurry stream
651,3154,"So do the Chinese press statements asserting that Hong Kong is ‘entirely a business between China and Britain’ and should not be <b>discussed</b>, formally or informally, at any international forum.",0.147,a7w-fragment01-73,NEWS,debated induced explored
652,3156,"The only two Hong Kong legislators who consistently dare to speak out, Mr Martin Lee and Mr Szeto Wah, have been threatened with <b>expulsion</b> from the committee now drafting China's post-1997 Basic Law.",0.273,a7w-fragment01-74,NEWS,dismissal removal termination
653,3157,There is still endless dithering on how <b>broad</b> a ‘safety net’ Britain will extend to its citizens.,0.242,a7w-fragment01-76,NEWS,wide
654,3167,"Although that is the position in law, the court <b>emphasised</b> that as a matter of commonsense a tenant should first complain to the landlord before exercising the right to prosecute.",0.091,a7y-fragment03-174,NEWS,highlighted stressed affirmed
655,3177,The council <b>appealed</b> by case stated.,0.182,a7y-fragment03-181,NEWS,petitioned led pleaded
656,3178,<b>Section</b> 92(1) of the 1936 Act defines ‘statutory nuisances’ as ‘any premises in such a state as to be prejudicial to health or a nuisance’.,0.212,a7y-fragment03-183,NEWS,Part Clause
657,3179,Section 92(1) of the 1936 Act <b>defines</b> ‘statutory nuisances’ as ‘any premises in such a state as to be prejudicial to health or a nuisance’.,-0.182,a7y-fragment03-183,NEWS,describes explains
658,3180,Mr Justice Hutchison said the 1936 Act primarily <b>envisages</b> a system where the local authority has a power and a duty to try to secure that premises are not in a state which constitutes a statutory nuisance.,0.529,a7y-fragment03-185,NEWS,foresees anticipates considers embodies proposed
659,3184,Mr Justice Hutchison said the 1936 Act primarily envisages a system where the local authority has a power and a duty to try to <b>secure</b> that premises are not in a state which constitutes a statutory nuisance.,-0.2,a7y-fragment03-185,NEWS,ensure maintain assure
660,3185,<b>Action</b> is initiated by the service of an abatement notice requiring remedial work.,-0.029,a7y-fragment03-186,NEWS,Movement Enforcement Activity
661,3186,Action is <b>initiated</b> by the service of an abatement notice requiring remedial work.,0.097,a7y-fragment03-186,NEWS,started taken triggered begun commenced
662,3196,The problem arises in connection with <b>section</b> 99 which adapts or applies the provisions to cases where an individual rather than the local authority wishes to make the complaint.,-0.118,a7y-fragment03-191,NEWS,part article item clause
663,3216,He must therefore satisfy himself on a <b>regular</b> basis that it does not constitute a statutory nuisance.,-0.156,a7y-fragment03-198,NEWS,recurrent normal steady consistent constant
664,3224,It was surely repugnant to common<b>sense</b> that in this area of legal activity a local authority should be prosecuted by one of its tenants without first being given the opportunity by that tenant to remedy the consequences of a neglect to repair the dwelling that the tenant occupied.,-0.031,a7y-fragment03-203,NEWS,belief
665,3230,But in every other conceivable way that <b>action</b> was entirely wrong.,0.088,a7y-fragment03-205,NEWS,behaviour deed activity plan move
666,3238,Parliament should give fresh thought to <b>enacting</b> a provision placing an obligation upon a council tenant to give notice to the council before being permitted to commence proceedings.,0.061,a7y-fragment03-208,NEWS,introducing enabling initiating authorising
667,3242,Leinster face an <b>uphill</b> task.,0.086,a80-fragment15-274,NEWS,on-going skyward herculean upward mammoth
668,3251,"Such is the mood of pessimism here it is <b>hard</b> to find anyone who believes the All Blacks, having won their seven matches in Wales, will face any significant threat during the next fortnight.",-0.152,a80-fragment15-278,NEWS,difficult
669,3254,"Ulster, the provincial champions, may well >fancy their >chances on November 21, but Leinster <b>look</b> certain to face an uphill struggle even though the tourists have rested 13 of the team that beat Wales.",-0.212,a80-fragment15-279,NEWS,seem appear
670,3258,"Ulster, the provincial champions, may well >fancy their >chances on November 21, but Leinster look certain to face an uphill struggle even though the <b>tourists</b> have rested 13 of the team that beat Wales.",0.176,a80-fragment15-279,NEWS,visitors travellers
671,3259,"Ulster, the provincial champions, may well >fancy their >chances on November 21, but Leinster look certain to face an uphill struggle even though the tourists have rested 13 of the <b>team</b> that beat Wales.",-0.114,a80-fragment15-279,NEWS,squad group players side
672,3272,Leinster have been <b>undermined</b> by their failure to secure prestige fixtures since the mid-Seventies.,0.219,a80-fragment15-283,NEWS,undercut diminished disadvantaged eroded weakened
673,3286,The <b>tourists</b> will field four backs aged 21 or under.,0.364,a80-fragment15-292,NEWS,visitors travellers
674,3289,"No doubt Smith, the Oxford University Australian, who won five caps for the Wallabies, will <b>feel</b> a bit closer to home facing the All Blacks twice in the next 11 days.",-0.029,a80-fragment15-295,NEWS,enjoy seem
675,3290,"No doubt Smith, the Oxford University Australian, who won five caps for the Wallabies, will feel a bit <b>closer</b> to home facing the All Blacks twice in the next 11 days.",-0.176,a80-fragment15-295,NEWS,nearer near
676,3294,"Equally intriguing will be the line-out performance of the young London Irish <b>lock</b>, Neil Francis, who has been left out of the current Ireland squad.",0.194,a80-fragment15-297,NEWS,player
677,3295,"Equally intriguing will be the line-out performance of the young London Irish lock, Neil Francis, who has been left out of the current Ireland <b>squad</b>.",0.25,a80-fragment15-297,NEWS,team TEAM group
678,3301,"Leinster will be <b>led</b> by their third captain in as many matches, the centre Paul Clinch.",-0.242,a80-fragment15-300,NEWS,captained guided spearheaded
679,3311,"Before Raymont works towards ‘ways of <b>showing</b> respect, understanding and affection to members of the opposite sex’, she should realise that the opposite sex's obsession with ‘members’ is a problem of enormous gravity.",-0.03,a8m-fragment02-64,NEWS,displaying demonstrating exhibiting
680,3315,"Before Raymont works towards ‘ways of showing respect, understanding and affection to members of the opposite sex’, she should realise that the opposite sex's obsession with ‘<b>members</b>’ is a problem of enormous gravity.",0.206,a8m-fragment02-64,NEWS,people associates representatives organs women
681,3316,"Before Raymont works towards ‘ways of showing respect, understanding and affection to members of the opposite sex’, she should realise that the opposite sex's obsession with ‘members’ is a problem of enormous <b>gravity</b>.",0.057,a8m-fragment02-64,NEWS,importance significance concern weight
682,3324,"In an ideal world, there would be no need for either, but for now I would rather see the frustration expressed in these <b>light-hearted</b> >terms than in the sort of man-hating bitterness that has given feminism such a bad name.",0.484,a8m-fragment02-68,NEWS,jovial gleeful nonchalant relaxed
683,3334,"What kind of hypocrisy allows you to (presumably) condemn a similarly degrading portrayal of women, whilst <b>making</b> your page a forum for this cartoon?",0.029,a8m-fragment02-74,NEWS,shaping creating
684,3341,"OLDHAM Athletic, who had never beaten a First Division side since they dropped into the Second Division in 1923, made up for 66 years of not altogether patient waiting with a <b>pulsating</b> victory over the League champions Arsenal at Boundary Park last night.",0.333,a8n-fragment19-311,NEWS,trembling vibrating dynamic
685,3347,"Despite many and varied <b>flurries</b> of activity in the first 40 minutes, Arsenal seemed reasonably secure if not inspired.",0.484,a8n-fragment19-315,NEWS,bursts attempts streams
686,3350,"They held their line and competed hard in midfield, <b>damping</b> down Oldham's initial verve and preparing themselves for more of the same in the second half.",0.406,a8n-fragment19-316,NEWS,shutting trampling pushing holding wearing
687,3355,"Oldham <b>took</b> up the attack again and Barlow, who had a fine match at left-back, totally containing Rocastle, floated in a deep cross beyond Winterburn.",-0.062,a8n-fragment19-320,NEWS,amped charged picked brought
688,3357,"Oldham took up the attack again and Barlow, who had a <b>fine</b> match at left-back, totally containing Rocastle, floated in a deep cross beyond Winterburn.",-0.235,a8n-fragment19-320,NEWS,good equal
689,3366,A <b>neat</b> step-over by Rocastle sent Thomas hurtling in on goal but Rhodes moved sharply off his line to smother the shot.,0.0,a8n-fragment19-323,NEWS,co-ordinated skillful clever tidy nimble quick
690,3374,"Finally, with Arsenal <b>pressing</b> hard, he clawed away Quinn's careful header from Thomas's drag-back.",0.273,a8n-fragment19-325,NEWS,fighting attacking pushing
691,3375,"Finally, with Arsenal pressing hard, he <b>clawed</b> away Quinn's careful header from Thomas's drag-back.",0.0,a8n-fragment19-325,NEWS,ripped pushed swiped
692,3377,"Worse, <b>far</b> worse was to follow.",-0.062,a8n-fragment19-327,NEWS,much even
693,3379,"Bunn, who <b>scored</b> six goals in the previous round against Scarborough, this time turned into the provider, putting Milligan clear and free.",-0.118,a8n-fragment19-328,NEWS,tallied gained netted achieved
694,3381,"Bunn, who scored six goals in the previous round against Scarborough, this time turned into the <b>provider</b>, putting Milligan clear and free.",0.0,a8n-fragment19-328,NEWS,giver enabler supplier producer
695,3386,"Holden's 64th-minute free-kick clattered the wall and the ball fell to Henry, who drilled a low <b>shot</b> from more than 30 yards inside Lukic's right-hand post.",0.061,a8n-fragment19-330,NEWS,kick attempt hit smash volley
696,3388,"Arsenal were stitched and <b>stuffed</b>, with no question of a fluke.",0.394,a8n-fragment19-333,NEWS,lost beaten
697,3398,"Joe Royle, the Oldham manager, was full of praise both for Graham and his own <b>team</b>.",-0.156,a8n-fragment19-341,NEWS,squad side
698,3402,He <b>took</b> it on the chin.,-0.147,a8n-fragment19-345,NEWS,accepted received
699,3414,"Prototyping is crucial to systems development, argues Ian Richards Tailored to <b>fit</b>.",-0.125,a8r-fragment02-21,NEWS,suit meet
700,3420,If you ask a user what sort of system he wants you will be met with a <b>blank</b> look.,0.091,a8r-fragment02-29,NEWS,vacant empty
701,3422,"A user may have a deep knowledge of business problems, but knowing little about computers, has no idea how they should be <b>tackled</b>.",0.176,a8r-fragment02-30,NEWS,handled approached addressed attacked challenged
702,3425,An effective analyst provides the same <b>service</b> to the business as the doctor provides to the patient.,-0.156,a8r-fragment02-34,NEWS,assistance routine value
703,3427,"He finds out what the needs of the business are, and <b>prescribes</b> the cure.",0.618,a8r-fragment02-35,NEWS,suggests gives authorises details
704,3433,"Once the user becomes familiar with the proposed system, <b>helpful</b> comments come thick and fast.",-0.032,a8r-fragment02-38,NEWS,useful constructive obliging
705,3460,"Instead of persuading the user to specify requirements, the analyst will be driven by the user to <b>meet</b> key needs.",-0.182,a8r-fragment02-52,NEWS,satisfy hit fulfill
706,3464,"Initially the analyst does all the work, <b>leading</b> the user towards a system he thinks is right for the business.",-0.062,a8r-fragment02-54,NEWS,heading encouraging taking guiding
707,3465,"But once the user <b>sees</b> the potential of the system, a change in attitude takes place.",-0.25,a8r-fragment02-55,NEWS,understands realises observes perceives spots
708,3466,"But once the user sees the potential of the system, a <b>change</b> in attitude takes place.",0.091,a8r-fragment02-55,NEWS,shift
709,3471,"The analyst is then forced on the <b>defensive</b>, explaining why new features can not be included because they are technically difficult or prohibitively expensive.",0.0,a8r-fragment02-57,NEWS,back-foot defending opposing
710,3474,"The analyst is then forced on the defensive, explaining why new features can not be included because they are technically difficult or <b>prohibitively</b> expensive.",0.545,a8r-fragment02-57,NEWS,excessively insurmountably highly exceptionally
711,3475,"In theory, validation <b>meant</b> that the user had read the specification, imagined how the system would work in practice, and agreed the design.",0.094,a8r-fragment02-59,NEWS,indicated signified supposed intended
712,3490,Crucial to the development process is the relationship <b>built</b> up between the analyst and the user.,-0.176,a8r-fragment02-64,NEWS,grown beefed developed
713,3498,Too much specialisation is bad for systems development; it <b>feeds</b> the temptation to get engrossed in technical difficulties and forget about the underlying business needs.,-0.057,a8r-fragment02-68,NEWS,encourages brings bolster facilitates
714,3501,"If you should stroll into a pub and meet an analyst and a user talking about work, and you can not tell one from the other, they have probably developed a <b>successful</b> system together.",0.364,a8r-fragment02-69,NEWS,prosperous functional good working effective established
715,3504,Container <b>group</b> Tiphook yesterday said it was still confident of winning its joint £643million bid for Sea Containers even though the battle has swung towards James Sherwood's ferries-to-trailers combine.,0.171,a8u-fragment14-317,NEWS,organisation company
716,3516,The offer from the Anglo-Swedish consortium formed by Tiphook and Stena AB is the subject of an appeal in the Bermudan courts which is aimed at overturning an earlier ruling <b>allowing</b> SeaCo to proceed with its ‘poison pill’ defence.,0.0,a8u-fragment14-318,NEWS,enabling permitting approving
717,3521,"Tiphook, which yesterday <b>unveiled</b> a 124 per cent increase in half year profits to £10million, hopes the court will block SeaCo's purchases of its own shares.",0.029,a8u-fragment14-319,NEWS,revealed presented announced
718,3522,"Tiphook, which yesterday unveiled a 124 per cent increase in half year profits to £10million, <b>hopes</b> the court will block SeaCo's purchases of its own shares.",-0.176,a8u-fragment14-319,NEWS,anticipates wants thinks
719,3525,"Alternatively, it may be able to <b>muster</b> enough support from SeaCo shareholders to halt the current disposal of assets by Mr Sherwood for its bid with Stena to be fully considered.",0.375,a8u-fragment14-320,NEWS,gather summon rally conjure
720,3528,"Alternatively, it may be able to muster enough support from SeaCo shareholders to halt the current disposal of assets by Mr Sherwood for its <b>bid</b> with Stena to be fully considered.",-0.057,a8u-fragment14-320,NEWS,offer application proposal effort
721,3529,"Alternatively, it may be able to muster enough support from SeaCo shareholders to halt the current disposal of assets by Mr Sherwood for its bid with Stena to be fully <b>considered</b>.",-0.062,a8u-fragment14-320,NEWS,contemplated appropriate pondered acknowledged
722,3542,"Aggreko generator hire, Salvesen's world market leader which provides <b>power</b> for customers from pop concerts to the oil industry, contributed strongly to a 37 per cent growth in trading profits in the industrial services division.",-0.176,a8u-fragment14-327,NEWS,energy electricity
723,3549,"Oil slicks in Alaska and elsewhere helped Vikoma, the group's environmental cleaning equipment manufacturer, which specialises in separating oil from water, and although Salvesen brick, is suffering in the second half from a 30 to 40 per cent cut in demand as housebuilding nosedives, the first half was prosperous and <b>full</b> year trading profit should be on a level with 1988, says finance director Brian Fidler.",-0.059,a8u-fragment14-328,NEWS,entire whole total complete
724,3553,Capital spending of £43 million should <b>reach</b> a total of £87 million for the full year.,-0.029,a8u-fragment14-330,NEWS,hit achieve
725,3555,The shares <b>rose</b> 10p to 170p.,-0.091,a8u-fragment14-331,NEWS,advanced increased
726,3562,Shares in Avon Rubber have fallen sharply this year as a result of the weak demand for winter tyres and rights issue call to finance the <b>move</b> into US motor components.,-0.242,a8u-fragment14-333,NEWS,diversification change progress transition
727,3572,"Turnover was held at £228.6million, an <b>rise</b> of about £2million, by the earlier contribution from tyre distribution and the US replacement.",-0.138,a8u-fragment14-336,NEWS,increase addition
728,3581,Earnings were <b>level</b> at 17.5p a share.,-0.294,a8u-fragment14-342,NEWS,static steady equal balanced
729,3592,"HARDANGER, the retail property developer, <b>posted</b> pre-tax profits up £1.3million to £8.37million.",0.062,a8u-fragment14-349,NEWS,made declared announced achieved reported
730,3593,"CRYSTALATE, the electronics product <b>group</b>, experienced a ‘serious disappointment’ in the second half and hence profits fell from £5.6million to £2.9million in the year to September.",0.0,a8u-fragment14-351,NEWS,company conglomerate faction corporation category
731,3599,Kingfisher's £461million <b>bid</b> for Dixon's led to a resurgence of speculative activity yesterday.,-0.273,a8u-fragment14-353,NEWS,offer
732,3607,Properties continued to <b>shine</b> as British Land produced a complicated scheme to release the value of its property portfolio.,0.097,a8u-fragment14-357,NEWS,excel flourish perform please glow
733,3617,"IN December, 1943, the men working feverishly to create the first American atomic bomb sent a team of ‘<b>spooks</b>’ to Naples.",0.281,a98-fragment03-53,NEWS,spies
734,3625,"His mentor, Enrico Fermi, later to be called ‘the <b>father</b> of the bomb’, and Emilio Segre (who died in California earlier this year).",0.139,a98-fragment03-60,NEWS,creator originator daddy founder
735,3626,"Amaldi <b>dodged</b> the American invitation, perhaps because (with Rome liberated) Fermi's mantle in physics had fallen on his young shoulders and there were younger minds to teach.",0.0,a98-fragment03-61,NEWS,avoided sidestepped evaded
736,3640,He then ordered a car to call for him the next morning for a similar occasion and was <b>felled</b> by a stroke while waiting for the lift.,0.394,a98-fragment03-66,NEWS,hit afflicted struck floored
737,3641,He then ordered a car to call for him the next morning for a similar occasion and was felled by a <b>stroke</b> while waiting for the lift.,-0.147,a98-fragment03-66,NEWS,convulsion embolism apoplexy blow attack
738,3644,"It is interesting to <b>note</b> that the ‘pope’ — as the kids called Fermi — ‘because he's always right’, was only seven years older than Amaldi.",-0.188,a98-fragment03-70,NEWS,realize remember notice observe say
739,3650,"He was <b>awarded</b> honorary degrees by Algiers, Glasgow and Oxford.",-0.156,a98-fragment03-73,NEWS,given granted
740,3656,"In 1949, Amaldi wrote to the Italian prime minister asking for permission to produce and sell sealing wax for letters, ‘so that we may <b>raise</b> needed funds for our physics lab’.",0.0,a98-fragment03-79,NEWS,acquire generate increase collect
741,3670,It has employed a dual strategy to achieve these two <b>objectives</b>.,-0.121,a9j-fragment01-4,NEWS,aims principles goals
742,3672,"First, a comprehensive civil disobedience campaign was begun by which people <b>severed</b>, or minimised, all the contact points by which they were bound to the Israeli occupation authority.",0.469,a9j-fragment01-5,NEWS,cut terminated disconnected broke honored
743,3673,"First, a comprehensive civil disobedience campaign was begun by which people severed, or <b>minimised</b>, all the contact points by which they were bound to the Israeli occupation authority.",0.171,a9j-fragment01-5,NEWS,reduced diminished lessened
744,3702,"The structure of the developing national authority has been both diffuse enough to prevent it from being <b>destroyed</b> by any one single sweep of arrests (there have been more than 50,000 arrests since the Intifada's outbreak), and coherent enough to allow for the existence of a unified resistance strategy.",0.486,a9j-fragment01-15,NEWS,wrecked decimated ruined demolished
745,3708,"While the entire network of popular committees, local institutions and the general public constitute the field commanders in the battle of civilian disobedience and of <b>constructing</b> a political infrastructure, a rotating Unified National Command acts in the role of field-general, issuing a bi-monthly directive outlining policy and determining specific resistance programmes.",0.143,a9j-fragment01-16,NEWS,creating forming building
746,3713,"While the entire network of popular committees, local institutions and the general public constitute the field commanders in the battle of civilian disobedience and of constructing a political infrastructure, a rotating Unified National Command acts in the role of field-general, issuing a bi-monthly directive outlining policy and determining specific <b>resistance</b> programmes.",0.059,a9j-fragment01-16,NEWS,defiance opposition opposing
747,3723,"A high level of mobility in the structure allows for continuous interchange of roles and ideas, and retains for the Unified National Command the <b>closeness</b> to grass roots that is required to make it truly reflect people's wishes and sentiments.",0.441,a9j-fragment01-17,NEWS,relatability bond familiarity proximity connection intimacy
748,3726,"A high level of mobility in the structure allows for continuous interchange of roles and ideas, and retains for the Unified National Command the closeness to grass roots that is required to <b>make</b> it truly reflect people's wishes and sentiments.",-0.229,a9j-fragment01-17,NEWS,ensure
749,3727,"A high level of mobility in the structure allows for continuous interchange of roles and ideas, and retains for the Unified National Command the closeness to grass roots that is required to make it truly <b>reflect</b> people's wishes and sentiments.",0.0,a9j-fragment01-17,NEWS,mirror show indicate
750,3730,"THIS expanded network of popular committees and institutions <b>making</b> up the Unified leadership is infused by tens of thousands of activists who belong to, or identify with, the different factions of the PLO.",-0.294,a9j-fragment01-18,NEWS,form comprising
751,3739,"<b>Thrusts</b> of resistance (mass demonstrations, resignations, tax rebellions, etc) would come in crests.",0.441,a9j-fragment01-22,NEWS,Waves Pushes Bouts Forays Shows
752,3751,"Harsh measures — putting an entire community under an absolute curfew for a continuous lengthy period of time, demolishing homes, uprooting olive or citrus trees, physical intimidation and terror tactics <b>employed</b> by raiding army units, shooting, killing, cutting off water or electricity supplies and telephone links to villages or towns, mass arrests, intimidatory interrogation techniques — can either create a temporary lull or activate an eruption.",0.121,a9j-fragment01-25,NEWS,used engaged applied
753,3754,"Harsh measures — putting an entire community under an absolute curfew for a continuous lengthy period of time, demolishing homes, uprooting olive or citrus trees, physical intimidation and terror tactics employed by raiding army units, shooting, killing, cutting off water or electricity supplies and telephone links to villages or towns, mass arrests, intimidatory interrogation techniques — can either create a temporary lull or <b>activate</b> an eruption.",0.25,a9j-fragment01-25,NEWS,trigger cause precipitate
754,3755,"Harsh measures — putting an entire community under an absolute curfew for a continuous lengthy period of time, demolishing homes, uprooting olive or citrus trees, physical intimidation and terror tactics employed by raiding army units, shooting, killing, cutting off water or electricity supplies and telephone links to villages or towns, mass arrests, intimidatory interrogation techniques — can either create a temporary lull or activate an <b>eruption</b>.",0.333,a9j-fragment01-25,NEWS,outbreak outburst explosion rebellion
755,3756,The army never <b>knows</b> which it will be.,-0.212,a9j-fragment01-26,NEWS,understands realise realises
756,3758,"The wave-like pattern of the Intifada, its <b>pains</b> and sufferings, are all reminiscent of the process of birth.",0.029,a9j-fragment01-28,NEWS,struggles torments torment afflictions difficulties distress
757,3768,The Intifada is the <b>midwife</b> of freedom.,0.467,a9j-fragment01-31,NEWS,deliverer matron creator
758,3771,"Through it, Palestinians are struggling on a daily basis to <b>shake</b> off Israel's authority and to construct their own.",0.258,a9j-fragment01-32,NEWS,put remove brush throw fight
759,3772,"Through it, Palestinians are struggling on a daily basis to shake off Israel's authority and to <b>construct</b> their own.",0.4,a9j-fragment01-32,NEWS,create make build
760,3784,It is a <b>conscious</b> effort.,0.258,a9j-fragment01-35,NEWS,calculated deliberate valiant purposeful thoughtful
761,3785,The <b>masses</b> are being engaged in the craft of state-masonry.,0.194,a9j-fragment01-36,NEWS,people crowds group mobs
